Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Critic_Score_Class
PS2,Action,Take-Two Interactive,"6,99","4,51","0,3","1,3","13,1",M,Excelente
3DS,Racing,Nintendo,"5,2","4,19","2,7","0,94","13,04",E,Excelente
Wii,Fighting,Nintendo,"6,64","2,56","2,66","1,01","12,87",T,Excelente
PS3,Shooter,Activision,6,"4,37","0,48","1,8","12,64",M,Excelente
DS,Simulation,Nintendo,"2,5","3,45","5,33","0,86","12,13",E,Excelente
X360,Shooter,Microsoft Game Studios,"7,97","2,81","0,13","1,21","12,12",M,Excelente
PS2,Racing,Sony Computer Entertainment,"3,01","0,01","1,1","7,53","11,66",E,Excelente
Wii,Platform,Nintendo,"6,06","3,36","1,2","0,74","11,36",E,Excelente
X360,Action,Take-Two Interactive,"6,77","3,07","0,14","1,03","11,01",M,Excelente
PS,Racing,Sony Computer Entertainment,"4,02","3,87","2,54","0,52","10,95",E,Excelente
3DS,Platform,Nintendo,"4,89","3,05","2,14","0,78","10,87",E,Excelente
PS3,Racing,Sony Computer Entertainment,"2,96","4,82","0,81","2,11","10,7",E,Excelente
PS3,Shooter,Activision,"4,99","3,64","0,38","1,6","10,6",M,Excelente
PS3,Action,Take-Two Interactive,"4,77","3,7","0,44","1,61","10,51",M,Excelente
X360,Shooter,Activision,"6,75","2,58","0,04","0,91","10,28",M,Bueno
Wii,Misc,Ubisoft,"5,95","3,11",0,"1,06","10,12",E10+,Bueno
3DS,Platform,Nintendo,"3,66","3,27","2,49","0,63","10,05",E,Bueno
X360,Shooter,Microsoft Game Studios,"7,06","1,97","0,08","0,79","9,9",M,Excelente
X360,Shooter,Microsoft Game Studios,"6,68","2,3","0,04","0,74","9,77",M,Excelente
PS,Role-Playing,Sony Computer Entertainment,"3,01","2,47","3,28","0,96","9,72",T,Excelente
PS,Racing,Sony Computer Entertainment,"3,88","3,42","1,69","0,5","9,49",T,Excelente
Wii,Misc,Ubisoft,"5,8","2,85","0,01","0,78","9,44",E10+,Bueno
PS3,Shooter,Activision,"4,1","3,63","0,38","1,26","9,37",M,Bueno
X360,Shooter,Activision,"5,95","2,37","0,13","0,9","9,35",M,Excelente
3DS,Simulation,Nintendo,"2,08","2,43","4,43","0,4","9,34",E,Excelente
PS4,Sports,Electronic Arts,"0,9","6,75","0,09","1,33","9,07",E,Excelente
DS,Misc,Nintendo,"4,4","1,85","1,98","0,68","8,91",E,Bueno
X360,Role-Playing,Bethesda Softworks,"5,08","2,8","0,1","0,86","8,84",M,Excelente
PS4,Sports,Electronic Arts,"1,13","6,13","0,06","1,28","8,6",E,Excelente
X,Shooter,Microsoft Game Studios,"6,82","1,53","0,05","0,08","8,49",M,Excelente
Wii,Misc,Nintendo,"1,75","3,48","2,49","0,67","8,39",E,Aceptable
Wii,Misc,Nintendo,"3,74","2,25","1,58","0,71","8,28",E,Aceptable
PS3,Action,Electronic Arts,"1,07","5,01","0,13","1,97","8,17",E,Excelente
PS2,Role-Playing,Sony Computer Entertainment,"2,91","2,07","2,73","0,33","8,05",T,Excelente
PC,Simulation,Electronic Arts,"0,99","6,42",0,"0,6","8,01",T,Excelente
PS,Role-Playing,SquareSoft,"2,28","1,72","3,63","0,23","7,86",T,Excelente
DS,Role-Playing,Nintendo,"2,76","1,72","2,69","0,54","7,72",E,Excelente
PSP,Action,Take-Two Interactive,"2,9","2,81","0,24","1,73","7,69",M,Excelente
PS4,Shooter,Activision,"2,83","3,48","0,14","1,24","7,68",M,Excelente
Wii,Platform,Nintendo,"3,58","2,36","0,98","0,62","7,54",E,Excelente
X360,Shooter,Activision,"4,83","1,9",0,"0,7","7,42",M,Excelente
PS4,Role-Playing,Bethesda Softworks,"2,58","3,42","0,24","1,17","7,41",M,Excelente
X360,Shooter,Electronic Arts,"4,47","2,11","0,06","0,69","7,33",M,Excelente
PS4,Shooter,Sony Computer Entertainment,"2,92","2,98","0,19","1,18","7,28",T,Excelente
WiiU,Racing,Nintendo,"3,17","2,25","1,29","0,52","7,23",E,Excelente
PS2,Racing,Electronic Arts,"3,27","2,83","0,08","1,02","7,2",E,Excelente
Wii,Misc,Ubisoft,"3,48","2,99",0,"0,73","7,2",E10+,Malo
PS3,Shooter,Electronic Arts,"2,86","2,89","0,35","1,08","7,18",M,Excelente
PS,Fighting,Sony Computer Entertainment,"3,27","2,22","1,4","0,29","7,16",T,Excelente
Wii,Action,Nintendo,"3,74","2,14","0,6","0,68","7,16",T,Excelente
PS,Platform,Sony Computer Entertainment,"3,68","1,75","1,42","0,28","7,13",E,Excelente
GC,Fighting,Nintendo,"4,41","1,04","1,39","0,22","7,07",T,Excelente
PS2,Racing,Electronic Arts,"2,71","3,02","0,08","1,09","6,9",E,Excelente
PS2,Shooter,Electronic Arts,"2,93","2,75","0,17","0,99","6,83",T,Excelente
Wii,Misc,Ubisoft,"4,05","2,16",0,"0,55","6,76",E10+,Bueno
X360,Shooter,Microsoft Game Studios,"4,15","1,9","0,06","0,64","6,75",M,Excelente
PS3,Action,Sony Computer Entertainment,"2,77","2,75","0,19","1,03","6,74",T,Excelente
PS3,Shooter,Activision,"3,11","2,26","0,28","1,03","6,69",M,Excelente
PS3,Action,Sony Computer Entertainment,"3,27","2,2","0,21","0,98","6,67",T,Excelente
DS,Misc,Nintendo,"1,66","2,75","1,6","0,62","6,63",E,Bueno
PS3,Action,Take-Two Interactive,"2,8","2,53","0,17",1,"6,51",M,Excelente
PS3,Sports,Electronic Arts,"0,79","4,24","0,07","1,38","6,48",E,Excelente
Wii,Platform,Nintendo,"3,18","1,8","1,03","0,46","6,47",E,Excelente
PS3,Action,Ubisoft,"2,65","2,52","0,16","1,12","6,46",M,Excelente
X,Shooter,Microsoft Game Studios,"4,98","1,3","0,08","0,07","6,43",M,Excelente
PS3,Role-Playing,Bethesda Softworks,"2,56","2,61","0,25",1,"6,42",M,Excelente
GBA,Role-Playing,Nintendo,"2,57","1,58","2,06","0,21","6,41",E,Bueno
PS2,Role-Playing,Sony Computer Entertainment,"3,64","1,2","1,49","0,07","6,4",E,Excelente
X360,Action,Take-Two Interactive,"3,71","1,97","0,09","0,58","6,35",M,Excelente
X360,Shooter,Microsoft Game Studios,"4,34","1,34","0,06","0,61","6,34",M,Excelente
GC,Platform,Nintendo,"4,01","1,26","0,87","0,17","6,31",E,Excelente
PC,Role-Playing,Activision,"0,09","6,22",0,0,"6,31",T,Excelente
PS,Action,GT Interactive,"3,11","2,8","0,02","0,33","6,27",T,Excelente
X360,Shooter,Microsoft Game Studios,"4,05","1,59","0,07","0,5","6,21",M,Excelente
X360,Sports,Microsoft Game Studios,"3,92","1,73","0,03","0,51","6,19",E10+,Bueno
X360,Shooter,Microsoft Game Studios,"3,54","1,88","0,07","0,6","6,09",M,Excelente
PS4,Sports,Electronic Arts,"0,8","4,33","0,05","0,91","6,08",E,Excelente
PS2,Action,Konami Digital Entertainment,"2,45","2,01","0,87","0,72","6,05",M,Excelente
PS,Action,Konami Digital Entertainment,"3,18","1,83","0,78","0,24","6,03",M,Excelente
PS3,Action,Konami Digital Entertainment,"2,63","1,71","0,83","0,82","5,99",M,Excelente
PS2,Role-Playing,Square Enix,"1,88",0,"2,33","1,74","5,95",T,Excelente
PS3,Action,Sony Computer Entertainment Europe,"2,41","2,19","0,29","0,99","5,89",M,Excelente
PS3,Platform,Sony Computer Entertainment,"2,8","1,98","0,17","0,87","5,82",E,Excelente
PS,Action,Virgin Interactive,"1,88","1,47","2,02","0,45","5,82",M,Excelente
PS4,Shooter,Activision,"2,15","2,57","0,16","0,93","5,8",M,Bueno
DS,Role-Playing,Nintendo,"0,63","0,67","4,35","0,15","5,78",E10+,Excelente
PS,Fighting,Sony Computer Entertainment,"2,26","1,89","1,36","0,23","5,74",T,Excelente
XOne,Action,Take-Two Interactive,"2,93","2,32",0,"0,49","5,74",M,Excelente
PS4,Shooter,Activision,"2,5","2,07","0,16","0,93","5,66",T,Bueno
Wii,Action,LucasArts,"3,57","1,56",0,"0,51","5,64",E10+,Excelente
DS,Simulation,505 Games,"3,08","1,91","0,07","0,57","5,64",E,Aceptable
PS3,Action,Ubisoft,"2,54","1,93","0,21","0,86","5,55",M,Excelente
X360,Adventure,Ubisoft,"3,28","1,64","0,07","0,56","5,54",M,Excelente
X360,Racing,Microsoft Game Studios,"2,99","1,9","0,1","0,5","5,49",E,Excelente
GBA,Platform,Nintendo,"3,14","1,24","0,91","0,2","5,49",E,Excelente
PS3,Action,Warner Bros. Interactive Entertainment,"2,71","1,85","0,11","0,81","5,48",T,Excelente
PSP,Role-Playing,Capcom,"0,47","0,55","4,13","0,34","5,48",T,Excelente
GBA,Racing,Nintendo,"2,62","1,64","0,99","0,23","5,47",E,Excelente
PS2,Platform,Universal Interactive,"2,07","2,29","0,24","0,82","5,42",E,Aceptable
PS3,Shooter,Activision,"2,73","1,83",0,"0,83","5,4",M,Excelente
3DS,Simulation,Nintendo,"0,99","2,23","1,91","0,25","5,39",E,Bueno
PS3,Role-Playing,Square Enix,"1,75","1,21","1,87","0,51","5,34",T,Excelente
PS,Role-Playing,SquareSoft,"1,62","0,77","2,78","0,14","5,3",T,Excelente
PS4,Shooter,Electronic Arts,"1,45","2,81","0,23","0,81","5,3",M,Excelente
WiiU,Platform,Nintendo,"2,3","1,4","1,28","0,32","5,29",E,Excelente
X360,Action,Ubisoft,"3,13","1,69","0,03","0,44","5,29",M,Excelente
PS2,Role-Playing,Electronic Arts,"1,92","1,08","2,11","0,17","5,29",T,Excelente
XOne,Shooter,Activision,"3,24","1,55","0,01","0,48","5,28",M,Excelente
X360,Action,Ubisoft,"3,12","1,55","0,08","0,52","5,27",M,Excelente
PS2,Sports,Electronic Arts,"4,26","0,26","0,01","0,71","5,23",E,Excelente
PS2,Role-Playing,Square Enix,"0,65","0,75","3,61","0,2","5,21",T,Excelente
DS,Puzzle,Nintendo,"1,21","2,43","1,03","0,52","5,19",E,Excelente
X360,Action,Electronic Arts,"1,09","3,47","0,03","0,58","5,17",E,Excelente
PC,Role-Playing,Activision,"2,45","2,17",0,"0,54","5,17",M,Excelente
PS2,Shooter,Electronic Arts,"1,98","2,23","0,13","0,8","5,13",T,Aceptable
PS2,Misc,RedOctane,"3,81","0,63",0,"0,68","5,12",T,Excelente
X360,Role-Playing,Microsoft Game Studios,"3,59","1,08","0,05","0,38","5,1",M,Excelente
PS3,Action,Capcom,"1,96","1,41","1,08","0,64","5,09",M,Excelente
DS,Action,Nintendo,"1,85","1,8","0,95","0,48","5,08",E,Excelente
PS3,Sports,Electronic Arts,"0,61","3,28","0,06","1,12","5,07",E,Excelente
PS,Action,Virgin Interactive,"2,05","1,16","1,11","0,73","5,05",M,Excelente
PSP,Action,Take-Two Interactive,"1,7","1,99","0,16","1,19","5,03",M,Excelente
PS,Sports,Activision,"3,42","1,38","0,02","0,2","5,02",T,Excelente
PS2,Misc,Activision,"3,49","0,01","0,01","1,48","4,98",T,Excelente
Wii,Shooter,Nintendo,"3,05","1,17","0,29","0,46","4,98",T,Aceptable
X360,Role-Playing,Bethesda Softworks,"3,4","0,99","0,09","0,45","4,94",M,Excelente
PS3,Action,Sony Computer Entertainment,"2,32","1,72","0,12","0,77","4,92",T,Excelente
PS2,Sports,Electronic Arts,"3,98","0,26","0,01","0,66","4,91",E,Excelente
PC,Strategy,Activision,"2,58","1,69",0,"0,59","4,85",T,Excelente
PS3,Adventure,Ubisoft,"1,91",2,"0,09","0,82","4,82",M,Excelente
PS3,Action,Sony Computer Entertainment,"2,74","1,34","0,12","0,61","4,8",M,Excelente
PS4,Action,Sony Computer Entertainment,"2,13","1,79","0,09","0,79","4,8",T,Excelente
PS,Racing,Sony Computer Entertainment,"2,57","1,57","0,44","0,21","4,79",E,Excelente
DS,Action,LucasArts,"2,83","1,48",0,"0,45","4,76",E,Excelente
PS,Action,Atari,"2,36","2,1","0,02","0,25","4,73",T,Aceptable
X360,Action,Warner Bros. Interactive Entertainment,"2,99","1,27","0,04","0,42","4,73",T,Excelente
PS,Sports,Activision,"3,05","1,41","0,02","0,2","4,68",T,Excelente
PS2,Action,Electronic Arts,"1,94","1,95","0,08","0,7","4,67",T,Excelente
PS,Action,Eidos Interactive,"2,29","1,97","0,13","0,24","4,63",T,Excelente
Wii,Simulation,Nintendo,"1,83","1,12","1,32","0,36","4,62",E,Bueno
3DS,Action,Nintendo,"1,82","1,39","1,12","0,29","4,62",E,Excelente
XOne,Shooter,Microsoft Game Studios,"2,86","1,29","0,03","0,42","4,61",T,Excelente
GC,Action,Nintendo,"2,6","0,99","0,89","0,13","4,6",E,Excelente
Wii,Misc,Activision,"3,04","1,11",0,"0,43","4,6",T,Excelente
X360,Racing,Microsoft Game Studios,"2,08","1,97","0,06","0,46","4,57",E,Excelente
WiiU,Shooter,Nintendo,"1,56","1,24","1,48","0,26","4,54",E10+,Excelente
PS2,Sports,Electronic Arts,"4,18","0,26","0,01","0,08","4,53",E,Excelente
X360,Misc,Activision,"3,19","0,91","0,01","0,42","4,53",T,Excelente
PS2,Sports,Electronic Arts,"3,63","0,24","0,01","0,61","4,49",E,Excelente
PS2,Action,Activision,"2,71","1,51","0,03","0,23","4,48",E,Bueno
WiiU,Platform,Nintendo,"2,18","1,23","0,73","0,34","4,47",E,Excelente
PS2,Action,Sony Computer Entertainment,"2,71","1,29","0,02","0,43","4,45",M,Excelente
WiiU,Misc,Nintendo,"2,52","1,11","0,46","0,33","4,42",E10+,Bueno
PS2,Sports,Activision,"2,66","1,29","0,01","0,46","4,41",T,Excelente
PS2,Sports,Konami Digital Entertainment,"0,1","2,39","1,05","0,86","4,39",E,Excelente
X360,Role-Playing,Take-Two Interactive,"2,83","1,03","0,13","0,4","4,39",M,Excelente
XOne,Role-Playing,Bethesda Softworks,"2,59","1,37","0,01","0,4","4,37",M,Excelente
PS2,Racing,Electronic Arts,"2,03","1,79","0,08","0,47","4,37",T,Excelente
Wii,Misc,Ubisoft,"2,64","1,33","0,01","0,39","4,36",E10+,Malo
PS3,Shooter,Sony Computer Entertainment,"1,74","1,72","0,14","0,75","4,35",M,Excelente
PS2,Role-Playing,Square Enix,"2,2","0,58","1,38","0,17","4,33",E10+,Excelente
X360,Role-Playing,Microsoft Game Studios,"2,51","1,24","0,11","0,41","4,27",M,Excelente
PS3,Action,Eidos Interactive,"2,24","1,31","0,07","0,61","4,24",T,Excelente
GBA,Misc,Namco Bandai Games,3,"1,11","0,05","0,07","4,24",E,Bueno
PS2,Action,Konami Digital Entertainment,"1,46",0,"0,83","1,93","4,23",M,Excelente
X360,Sports,Electronic Arts,"0,93","2,89","0,01","0,4","4,22",E,Excelente
PS3,Action,Ubisoft,"1,41","2,01","0,1","0,7","4,22",M,Excelente
PSP,Platform,Sony Computer Entertainment,"2,45","1,01",0,"0,75","4,21",E10+,Excelente
PS2,Sports,Electronic Arts,"0,78","2,55","0,04","0,84","4,21",E,Excelente
PS2,Misc,Sony Computer Entertainment,"0,88","2,3","0,2","0,83","4,2",E,Excelente
X360,Action,Ubisoft,"2,25","1,47","0,04","0,43","4,2",M,Excelente
PS3,Racing,Sony Computer Entertainment,"1,28","1,82","0,57","0,52","4,19",E,Excelente
PS3,Fighting,Capcom,"2,03","1,04","0,58","0,52","4,17",T,Excelente
PS2,Sports,Electronic Arts,"3,36","0,21","0,01","0,56","4,14",E,Excelente
PS4,Role-Playing,Namco Bandai Games,"1,07","2,22","0,23","0,62","4,14",M,Excelente
PC,Shooter,Vivendi Games,"4,03",0,"0,09",0,"4,12",M,Excelente
PS4,Action,Ubisoft,"1,4","1,93","0,11","0,65","4,09",M,Excelente
PC,Role-Playing,Activision,"2,57","1,52",0,0,"4,09",T,Excelente
PS4,Action,Warner Bros. Interactive Entertainment,"1,59","1,73","0,11","0,66","4,09",M,Excelente
PS2,Action,Sony Computer Entertainment,"2,32","0,04","0,04","1,67","4,07",M,Excelente
PS4,Shooter,Ubisoft,"1,15","2,18","0,1","0,63","4,06",M,Excelente
X360,Role-Playing,Bethesda Softworks,"2,66","1,03","0,04","0,33","4,06",M,Excelente
Wii,Misc,Take-Two Interactive,"2,12","1,47","0,05","0,42","4,05",E,Malo
X360,Racing,Microsoft Game Studios,"2,35","1,27","0,03","0,41","4,05",E,Excelente
PS2,Fighting,Namco Bandai Games,"1,68","1,51","0,51","0,35","4,05",T,Excelente
PS4,Shooter,Ubisoft,"1,37","1,85","0,15","0,63",4,M,Excelente
PS4,Action,Ubisoft,"1,2","2,09","0,08","0,63","3,99",M,Aceptable
X360,Shooter,Electronic Arts,"2,67","0,87","0,05","0,38","3,97",M,Excelente
PS3,Role-Playing,Bethesda Softworks,"2,16","1,13","0,07","0,59","3,95",M,Excelente
Wii,Action,Nintendo,"2,03","1,17","0,37","0,38","3,95",E10+,Excelente
DS,Puzzle,Nintendo,"0,9","1,76","0,92","0,37","3,94",E10+,Excelente
PC,Role-Playing,Bethesda Softworks,"1,16","2,16",0,"0,6","3,92",M,Excelente
3DS,Role-Playing,Nintendo,"0,7","0,48","2,62","0,11","3,92",T,Excelente
Wii,Sports,Electronic Arts,"2,09","1,35","0,06","0,4","3,91",E,Excelente
PS4,Sports,Take-Two Interactive,"2,51","0,66","0,04","0,69","3,9",E10+,Excelente
PS2,Sports,Activision,"2,29","1,17","0,01","0,42","3,9",T,Excelente
PS2,Fighting,Namco Bandai Games,"0,93","1,94","0,31","0,7","3,87",T,Excelente
PS3,Racing,Sony Computer Entertainment,"1,53","1,6","0,06","0,67","3,87",T,Excelente
PS2,Sports,Konami Digital Entertainment,"0,16","1,89","1,12","0,68","3,85",E,Excelente
PS3,Sports,Sony Computer Entertainment,"2,13","1,12","0,1","0,5","3,85",E10+,Bueno
PS4,Shooter,Activision,"1,78","1,43","0,05","0,57","3,83",M,Bueno
DS,Misc,Nintendo,"0,86","1,56","1,05","0,35","3,83",E,Malo
Wii,Misc,Nintendo,"1,05","1,91","0,41","0,42","3,79",E,Aceptable
X360,Action,Activision,"2,4","1,01",0,"0,36","3,76",E10+,Bueno
PC,Simulation,Electronic Arts,"2,03","1,56",0,"0,17","3,76",T,Bueno
PS,Action,Electronic Arts,"1,37",2,"0,14","0,22","3,73",E,Aceptable
PS3,Action,Ubisoft,"1,33","1,69","0,13","0,57","3,72",M,Excelente
Wii,Platform,Nintendo,"1,95","0,86","0,59","0,31","3,72",E,Excelente
PS,Platform,Sony Computer Entertainment,"1,93","1,58",0,"0,19","3,71",E,Excelente
PS2,Sports,Electronic Arts,"0,58","2,48","0,04","0,59","3,7",E,Excelente
PS2,Sports,Activision,"2,13","1,18","0,01","0,35","3,67",T,Excelente
DS,Simulation,Electronic Arts,"1,58","1,59","0,08","0,41","3,66",E,Aceptable
PSP,Racing,Take-Two Interactive,"1,65","1,21",0,"0,79","3,65",E10+,Bueno
PS2,Shooter,Sony Computer Entertainment,"2,53","0,81","0,06","0,24","3,65",M,Excelente
PS2,Platform,Sony Computer Entertainment,"2,08","1,09","0,15","0,33","3,64",E,Excelente
PS2,Sports,Konami Digital Entertainment,"0,05",0,"0,64","2,93","3,63",E,Excelente
PS2,Action,Capcom,"2,08","0,83","0,46","0,25","3,62",M,Excelente
PS3,Sports,Electronic Arts,"0,6","2,45","0,05","0,52","3,62",E,Excelente
Wii,Misc,Activision,"2,32","0,96",0,"0,34","3,62",T,Excelente
PS4,Shooter,Electronic Arts,"1,37","1,55","0,17","0,52","3,61",M,Excelente
PS2,Shooter,LucasArts,"1,93","1,22","0,03","0,44","3,61",T,Excelente
PS2,Racing,Electronic Arts,"2,02","1,17",0,"0,42","3,61",T,Aceptable
GC,Action,Nintendo,"2,38","0,67","0,46","0,1","3,6",E,Bueno
PS2,Shooter,LucasArts,"2,18","1,02","0,03","0,37","3,59",T,Excelente
DS,Simulation,505 Games,"1,6","1,49","0,1","0,39","3,58",E,Aceptable
XOne,Shooter,Activision,"2,25","0,98",0,"0,33","3,56",M,Bueno
XOne,Action,Ubisoft,"2,32","0,9",0,"0,33","3,56",M,Bueno
PS2,Action,Take-Two Interactive,"1,56","1,4","0,07","0,5","3,54",M,Bueno
PS2,Action,Sony Computer Entertainment,"1,23","1,77","0,05","0,49","3,54",M,Bueno
PS2,Shooter,Electronic Arts,"1,9","1,13","0,1","0,41","3,53",T,Bueno
X360,Sports,Electronic Arts,"0,71","2,39","0,02","0,4","3,52",E,Excelente
X360,Shooter,Electronic Arts,"2,66","0,49","0,05","0,3","3,51",M,Excelente
X360,Action,Capcom,"2,11","0,93","0,12","0,34","3,5",M,Excelente
X360,Action,Ubisoft,"2,85","0,38","0,03","0,24","3,5",M,Excelente
PS3,Shooter,Electronic Arts,"1,31","1,42","0,27","0,5","3,5",M,Excelente
PS2,Sports,Electronic Arts,"0,59","2,36","0,04","0,51","3,49",E,Excelente
X360,Shooter,Electronic Arts,"2,15","1,02","0,02","0,31","3,49",M,Bueno
X360,Action,Eidos Interactive,"2,21","0,95","0,02","0,31","3,49",T,Excelente
X360,Shooter,Electronic Arts,"2,1","1,01","0,04","0,32","3,48",M,Excelente
XOne,Shooter,Microsoft Game Studios,"2,78","0,34",0,"0,36","3,47",M,Excelente
DS,Misc,Activision,"2,1","1,01","0,01","0,35","3,46",E10+,Bueno
DS,Misc,Nintendo,"0,59","1,79","0,73","0,34","3,45",E,Excelente
X360,Shooter,Take-Two Interactive,"2,4","0,71","0,03","0,29","3,44",M,Excelente
PS4,Action,Ubisoft,"0,84","2,01","0,07","0,53","3,44",M,Bueno
PS2,Fighting,Namco Bandai Games,"1,55","1,27","0,33","0,29","3,44",T,Bueno
XOne,Shooter,Electronic Arts,"2,14","0,97","0,01","0,32","3,44",M,Excelente
PS4,Action,Konami Digital Entertainment,"1,1","1,36","0,49","0,48","3,43",M,Excelente
PS,Action,Take-Two Interactive,"1,13","2,07",0,"0,22","3,42",T,Aceptable
PS2,Action,Activision,"1,75","1,2","0,02","0,43","3,41",T,Excelente
PS3,Platform,Sony Computer Entertainment,"1,83","1,05","0,06","0,46","3,4",E,Excelente
X360,Action,Warner Bros. Interactive Entertainment,"2,04","1,03",0,"0,32","3,4",E10+,Bueno
PS2,Sports,Electronic Arts,"0,46","2,28","0,05","0,61","3,4",E,Excelente
PS,Misc,Sony Computer Entertainment,"1,56","1,47","0,19","0,17","3,39",E,Aceptable
XOne,Shooter,Activision,"2,14","0,92",0,"0,31","3,38",T,Bueno
PS4,Role-Playing,Square Enix,"1,01","1,12","0,81","0,42","3,37",T,Excelente
PS3,Shooter,Ubisoft,"0,88","1,7","0,1","0,67","3,35",M,Excelente
PS2,Shooter,Electronic Arts,"1,45","1,29","0,12","0,46","3,33",T,Bueno
PS2,Action,LucasArts,"1,47","1,39","0,03","0,43","3,32",T,Aceptable
DS,Action,Nintendo,"1,4","0,91","0,74","0,26","3,31",E10+,Excelente
PS2,Shooter,Take-Two Interactive,"1,99","1,05","0,05","0,22","3,31",M,Excelente
XOne,Shooter,Microsoft Game Studios,"1,98",1,"0,03","0,3","3,31",M,Excelente
X360,Action,Ubisoft,"1,9","1,11","0,01","0,29","3,31",M,Excelente
PS2,Action,Electronic Arts,"1,5","1,28","0,05","0,46","3,28",T,Excelente
WiiU,Platform,Nintendo,"1,21","0,92","0,95","0,2","3,28",E,Excelente
PS3,Racing,Sony Computer Entertainment,"0,74","1,68","0,4","0,45","3,28",E,Excelente
PS2,Action,Activision,"1,89","1,05","0,02","0,31","3,27",M,Bueno
DS,Puzzle,Nintendo,"0,61","1,57","0,82","0,27","3,26",E10+,Excelente
XOne,Sports,Electronic Arts,"0,9","2,12",0,"0,24","3,26",E,Excelente
PS4,Sports,Electronic Arts,"2,35","0,3",0,"0,6","3,26",E,Excelente
Wii,Misc,Nintendo,"1,35","1,11","0,46","0,32","3,25",E,Aceptable
XOne,Sports,Electronic Arts,"0,72","2,3",0,"0,22","3,24",E,Excelente
PC,Simulation,Electronic Arts,"1,05","1,93",0,"0,24","3,23",T,Aceptable
PSP,Action,Sony Computer Entertainment,"1,48",1,"0,04","0,66","3,18",M,Excelente
PS3,Adventure,Take-Two Interactive,"1,28","1,29","0,12","0,5","3,18",M,Excelente
PS2,Action,Atari,"1,78","1,12","0,09","0,19","3,18",T,Aceptable
PSP,Role-Playing,Square Enix,"1,35","0,59","0,8","0,43","3,18",T,Excelente
X360,Misc,MTV Games,"2,15","0,76","0,01","0,26","3,17",T,Excelente
PS2,Simulation,Sony Computer Entertainment Europe,"2,06","0,56","0,38","0,17","3,17",E,Excelente
3DS,Simulation,Nintendo,"0,55","1,07","1,41","0,13","3,16",E,Aceptable
GC,Simulation,Nintendo,"1,92","0,16","0,99","0,09","3,15",E,Excelente
PS2,Sports,Electronic Arts,"0,68",0,0,"2,46","3,14",E,Excelente
Wii,Misc,Nintendo,"1,06","1,1","0,76","0,22","3,14",E,Bueno
PS,Action,Activision,"1,7","1,25","0,02","0,16","3,13",E,Excelente
3DS,Action,Nintendo,"1,41","1,03","0,46","0,23","3,13",E,Excelente
DS,Platform,Sega,"1,21","1,56","0,06","0,29","3,12",E,Excelente
PS3,Role-Playing,Bethesda Softworks,"1,53","1,03","0,1","0,46","3,12",M,Excelente
DS,Misc,Nintendo,"0,91",1,"1,03","0,17","3,12",E,Excelente
DS,Misc,Nintendo,"0,55","0,5","1,93","0,13","3,11",E,Excelente
PS3,Role-Playing,Ubisoft,"1,69","0,85","0,14","0,43","3,1",M,Excelente
PS3,Shooter,Capcom,"0,88","0,94","0,88","0,4","3,1",M,Bueno
X360,Role-Playing,Electronic Arts,"1,99","0,81","0,03","0,27","3,1",M,Excelente
